area,lat,long,mean_daily_cost,mean_order_cost,mean_weekly_cost,society_id,CUM_VAR,quintile
7,18.559480377213305,73.91621604913759,0.8387567567567569,155.17000000000002,5.005483870967742,1273104,1.2482992311666066e-05,1.0
12,18.59888107356,73.88251560890349,4.418076756756757,136.22403333333332,26.36594193548387,1287664,7.823604615316153e-05,1.0
7,18.56590778188159,73.93150557476567,5.332162162162162,54.80277777777776,31.820967741935483,1338400,0.00015759318842191832,1.0
1,18.489529385776237,73.7964088620164,7.243675675675677,670.04,43.2283870967742,1271088,0.0002653988746822616,1.0
12,18.593665642543357,73.8846736592007,14.317145945945946,240.78836363636364,85.44103225806451,1256640,0.00047847712571097325,1.0
9,18.44135404389326,73.87370159422312,18.473945945945946,79.48093023255818,110.24774193548389,1266048,0.0007534199185429309,1.0
3,18.55416663240195,73.7626235089688,22.19882432432432,62.2239772727273,132.47685483870967,1337504,0.0010837990792903999,1.0
7,18.569604560262405,73.90329817724434,32.491966540540545,176.79452382352943,193.9036712903226,1338064,0.001567368320609911,1.0
7,18.576616761268614,73.92497879626677,39.059598756756756,96.34701026666667,233.09760548387098,1285536,0.0021486818743304166,1.0
10,18.50466246438368,73.91630800849835,40.65821621621621,242.63774193548394,242.63774193548386,1285872,0.0027537872238188516,1.0
1,18.52029092694797,73.78865654616796,42.938032432432436,55.94039436619707,256.24309677419353,1257984,0.0033928224678443893,1.0
7,18.56750768106818,73.91773803146683,43.55963243243243,71.95117857142857,259.9526451612903,1292256,0.004041108818294315,1.0
7,18.587317134010604,73.91232825497178,44.87596708108107,127.72390630769237,267.80819064516123,1337840,0.004708985824993852,1.0
7,18.563589979267146,73.9240267268233,45.10003243243244,82.60897029702973,269.1453548387097,1263920,0.005380197536344884,1.0
3,18.56031323839909,73.7672414386232,45.214845405405406,204.01820487804878,269.8305290322581,1338176,0.006053117978442174,1.0
9,18.425100226259858,73.90681460186867,45.825567567567575,121.11042857142851,273.4751612903226,1267392,0.006735127635014841,1.0
